,Address,Price,Beds,Baths,Area_Sqft,City,Zipcode,Parking_Size,In_Unit_Aminity_Count,Community_Aminity_Count
194,"1137 Roewill Dr,San Jose, CA 95117",1795,1,1,700.0,San Jose,95117,0,0,0
195,"102 Sunol St,San Jose, CA 95126",4200,3,3,1463.0,San Jose,95126,0,2,2
196,"4441 Laird Cir,Santa Clara, CA 95054",4400,3,2.5,1700.0,San Jose,95054,0,2,2
197,"2018 Sonador Cmns,San Jose, CA 95128",3695,3,2,1393.0,San Jose,95128,0,3,3
198,"1771 Nelson Way,San Jose, CA 95124",1340,1,1,121.0,San Jose,95124,0,0,0
199,"860 Calhoun St,San Jose, CA 95116",2250,2,1,860.0,San Jose,95116,0,0,0
200,"120 Asbury St,San Jose, CA 95110",2650,2,1,1200.0,San Jose,95110,0,1,0
201,"716 E Santa Clara St,San Jose, CA 95112",1850,1,1,600.0,San Jose,95112,0,0,0
202,"2236 Curtner Ave,San Jose, CA 95124",1895,1,1,590.0,San Jose,95124,0,0,0
203,"53 S 9th St,San Jose, CA 95112",2400,2,1,500.0,San Jose,95112,0,3,0
204,"1530 Calaveras Ave,San Jose, CA 95126",4995,3,2,1719.0,San Jose,95126,0,4,0
205,"1445 Fruitdale Ave,San Jose, CA 95128",3700,2,2,1170.0,San Jose,95128,0,5,3
206,"105 Roundtable Dr,San Jose, CA 95111",2350,2,1,800.0,San Jose,95111,0,0,0
207,"2033 Beatrice Ct,San Jose, CA 95128",1895,1,1,600.0,San Jose,95128,0,1,1
208,"1451 Curci Dr,San Jose, CA 95126",2395,1,1,810.0,San Jose,95126,0,1,1
209,"1424 Keoncrest Ave,San Jose, CA 95110",3600,3,2,1347.0,San Jose,95110,0,0,1
210,"2639 Heritage Park Cir,San Jose, CA 95132",3850,3,2.5,1850.0,San Jose,95132,0,6,2
211,"584 Via Primavera Ct,San Jose, CA 95111",3195,2,2,1332.0,San Jose,95111,0,3,0
212,"3157 Payne Ave #23,San Jose, CA 95117",3850,3,2.5,1360.0,San Jose,95117,0,7,1
213,"961 Sunbonnet Loop,San Jose, CA 95125",5299,4,2.5,2069.0,San Jose,95125,0,7,1
214,"1780 Senter Rd,San Jose, CA 95112",2595,2,1,921.0,San Jose,95112,0,0,0
215,"650 N 15th St,San Jose, CA 95112",2900,1,1,550.0,San Jose,95112,0,0,0
216,"211 Pecan Grove Ct,SAN JOSE, CA 95123",669171,2,1.5,950.0,San Jose,95123,0,0,0
217,"750 S 11th St,San Jose, CA 95112",1968,1,1,600.0,San Jose,95112,0,0,0
218,"2042 McKenzie Pl,San Jose, CA 95131",4495,4,2.5,1972.0,San Jose,95131,0,3,0
219,"202 Litchi Grove Ct,San Jose, CA 95123",2800,2,1.5,950.0,San Jose,95123,0,1,1
220,"684 Vine St,San Jose, CA 95110",1795,1,1,525.0,San Jose,95110,0,0,0
221,"1735 Flint Creek Way,San Jose, CA 95148",4160,3,2.5,1622.0,San Jose,95148,0,4,4
222,"6090 Montgomery Ct,San Jose, CA 95135",2860,1,1,975.0,San Jose,95135,0,1,1
223,"3730 Moorpark Ave,San Jose, CA 95117",2995,2,2,750.0,San Jose,95117,0,3,2
224,"2557 Alvin Ave,San Jose, CA 95121",2100,1,1,605.0,San Jose,95121,0,2,2
225,"2829 Glen Decker Ct,San Jose, CA 95148",5900,4,2.5,2946.0,San Jose,95148,0,3,2
226,"5510 Makati Cir,SAN JOSE, CA 95123",629763,2,1,924.0,San Jose,95123,0,0,0
227,"3990 Hamilton Ave,San Jose, CA 95130",2535,2,1,850.0,San Jose,95130,0,1,1
228,"956 Dawnview Ct,San Jose, CA 95136",3850,3,2,1512.0,San Jose,95136,0,3,2
229,"1060 S 3rd St #253,San Jose, CA 95112",2495,2,2,1100.0,San Jose,95112,0,3,3
230,"1793 De Marietta Ave,San Jose, CA 95126",2595,2,2,992.0,San Jose,95126,0,2,0
231,"4771 Hatfield Ww #4,San Jose, CA 95124",2350,2,1,768.0,San Jose,95124,0,2,2
232,"2752 Kollmar Dr,San Jose, CA 95127",1695,1,1,605.0,San Jose,95127,0,0,0
233,"737 River Park Dr,San Jose, CA 95111",4200,3,2,1908.0,San Jose,95111,0,3,2
234,"1119 Littleoak Dr,San Jose, CA 95129",4950,4,2,1862.0,San Jose,95129,0,2,0
235,"1183 Calle Ventura,San Jose, CA 95120",5195,4,2.5,2051.0,San Jose,95120,0,5,1
236,"1199 Mirabeau Ln,San Jose, CA 95132",3595,3,2.5,1875.0,San Jose,95132,0,5,1
237,"1112 Kelly Dr,San Jose, CA 95129",4545,4,2,1458.0,San Jose,95129,0,5,2
238,"771 N 2nd St,San Jose, CA 95112",3600,3,2,2400.0,San Jose,95112,0,3,1
239,"498 S 7th St,San Jose, CA 95112",1795,1,1,325.0,San Jose,95112,0,0,0
240,"577 Giuffrida Ave,San Jose, CA 95123",2990,2,2,975.0,San Jose,95123,0,2,2
241,"411 Park Ave #115,San Jose, CA 95110",2900,2,2,1100.0,San Jose,95110,0,2,1
242,"975 S 1st St,San Jose, CA 95110",3195,2,2,1127.0,San Jose,95110,0,3,1
243,"2415 Appley Way,San Jose, CA 95124",4500,3,3,1300.0,San Jose,95124,0,4,2
244,"1077 Cross Springs Ct,San Jose, CA 95120",5995,4,3,3260.0,San Jose,95120,0,1,2
245,"1448 Alderbrook Ln,San Jose, CA 95129",4595,3,2,1648.0,San Jose,95129,0,0,0
246,"2630 Media Way,San Jose, CA 95125",4995,3,3,1584.0,San Jose,95125,0,0,1
247,"1802 Schweppes Ct,San Jose, CA 95132",2995,2,1.5,988.0,San Jose,95132,0,2,0
248,"7025 Queenswood Ct,San Jose, CA 95120",4345,3,2,1649.0,San Jose,95120,0,3,0
249,"21717 Almaden Rd,San Jose, CA 95120",5750,4,3,2379.0,San Jose,95120,0,3,2
250,"599 Calpella Dr,San Jose, CA 95136",4350,4,2.5,2300.0,San Jose,95136,0,4,2
